,IATA,IACO,Aerolinea,Llamada de Identificación,País
1359,PS,AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine
1360,JW,VNL,Vanilla Air,VANILLA,Japan
1361,VU,VAG,Vietravel Airlines,VIETRAVEL AIR,Vietnam
1362,VB,VIV,VivaAerobus,AEROENLACES,Mexico
1363,VA,VOZ,Virgin Australia,VELOCITY,Australia
1364,VF,VLU,Valuair,VALUAIR,Singapore
1365,J7,VJA,ValuJet Airlines,CRITTER,United States
1366,0V,VFC,Vietnam Air Services Company(VASCO),VASCO AIR,Vietnam
1367,VC,VAL,Voyageur Airways,VOYAGEUR,Canada
1368,VN,HVN,Vietnam Airlines,VIET NAM,Vietnam
1369,NN,MOV,VIM Airlines,MOV AIR,Russia
1370,Y4,VOI,Volaris,VOLARIS,Mexico
1371,VI,VDA,Volga-Dnepr Airlines,VOLGA,Russia
1372,VX,VRD,Virgin America,REDWOOD,United States
1373,VJ,VJC,Vietjet Air,VIETJET,Vietnam
1374,V4,VES,Vieques Air Link,VIEQUES,United States
1375,TV,VEX,Virgin Express,VIRGIN EXPRESS,Belgium
1376,VK,VGN,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria
1377,VS,VIR,Virgin Atlantic,VIRGIN,United Kingdom
1378,ZG,VVM,Viva Macau,JACKPOT,Macao
1379,VE,VLE,C.A.I. Second,VOLA,Italy
1380,VY,VLG,Vueling Airlines,VUELING,Spain
1381,XF,VLK,Vladivostok Air,VLADAIR,Russia
1382,LC,VLO,Varig Logística,VELOG,Brazil
1383,VM,VOA,Viaggio Air,VIAGGIO,Bulgaria
1384,9V,VPA,Vipair Airlines,VIAIR,Kazakhstan
1385,RG,VRN,Varig,VARIG,Brazil
1386,VH,VVC,Viva Air Colombia,Viva Air Colombia,Colombia
1387,VP,VSP,VASP,VASP,Brazil
1388,V7,VOE,Volotea,VOLOTEA,Spain
1389,VG,VLM,VLM Airlines,RUBENS,Belgium
1390,G6,WLG,Air Volga,GOUMRAK,Russia
1391,UK,VTI,Vistara,Vistara,India
1392,WD,WDL,WDL Aviation,WDL,Germany
1393,WT,WSG,Wasaya Airways,WASAYA,Canada
1394,WH,WEB,WebJet Linhas Aéreas,WEB-BRASIL,Brazil
1395,2W,WLC,Welcome Air,WELCOMEAIR,Austria
1396,WZ,WSF,West African Airlines,,Benin
1397,PT,SWN,West Air Sweden,AIR SWEDEN,Sweden
1398,YH,WCW,West Caribbean Airways,WEST,Colombia
1399,8O,YWZ,West Coast Air,COAST AIR,Canada
1400,WS,WJA,WestJet,WESTJET,Canada
1401,ST*,STT,"Western Aircraft, Inc",SAWTOOTH,United States
1402,WA,WAL,Western Airlines,WESTERN,United States
1403,WA,KLC,KLM Cityhopper,CITY,the Netherlands
1404,W7,KMR,Western Pacific Airlines,KOMSTAR,United States
1405,CN,WWD,Westward Airways,WESTWARD,United States
1406,WF,WIF,Widerøe,WIDEROE,Norway
1407,WC,WAA,Wien Air Alaska,WIEN,United States
1408,WL,WLS,Air Wales Virtual,WALES,United Kingdom
1409,IV,JET,Wind Jet,GHIBLI,Italy
1410,7W,QGA,Windrose Air,QUADRIGA,Germany
1411,IW,WON,Wings Air,WINGS ABADI,Indonesia
1412,8Z,WVL,Wizz Air Bulgaria,WIZZBUL,Bulgaria
1413,W6,WZZ,Wizz Air,WIZZAIR,Hungary
1414,W4,WMT,Wizz Air Malta,WIZZ AIR MALTA,Malta
1415,W9,WUK,Wizz Air UK,WIZZ GO,United Kingdom
1416,WO,WOA,World Airways,WORLD,United States
1417,UI,CSW,SW Italia,SILKITALIA,Italy
1418,WW,WOW,WOW air,WOW air,Iceland
1419,8V,WRF,Wright Air Service,WRIGHT FLYER,United States
1420,KW,WAN,Wataniya Airways,WATANIYA,Kuwait
1421,3W*,VNR,Wan Air,WANAIR,French Polynesia
1422,WR,WEN,WestJet Encore,ENCORE,Canada
1423,7A,XRC,Express Air Cargo,TUNISIA CARGO,Tunisia
1424,MF,CXA,Xiamen Airlines,XIAMEN AIR,China
1425,SE,SEU,XL Airways France,STARWAY,France
1426,XN,XAR,XpressAir,XPRESS,Indonesia
1427,YL,LLM,Yamal Airlines,YAMAL,Russia
1428,R3,SYL,Yakutia Airlines,AIR YAKUTIA,Russia
1429,Y8,YZR,Suparna Airlines,YANGTZE RIVER,China
1430,Y0,EMJ,Yellow Air Taxi/Friendship Airways,,United States
1431,IY,IYE,Yemenia,YEMENI,Yemen
1432,YT,NYT,Yeti Airlines,YETI AIRLINES,Nepal
1433,4Y,UYA,Yute Air Alaska,,United States
1434,2N,UMK,Yuzhmashavia,YUZMASH,Ukraine
1435,C4,IMX,Zimex Aviation,ZIMEX,Switzerland
1436,Q3,MBN,Zambian Airways,ZAMBIANA,Zambia
1437,3J,WZP,Zip,ZIPPER,Canada
1438,ZG,TZP,Zipair Tokyo,ZIPPY,Japan
1439,Z4,OOM,Zoom Airlines,ZOOM,Canada
